_id,ANO,TIPO,ORGANISMO,POBLACION,ENTIDAD,AREA DE GASTO,POLITICA DE GASTO,GRUPO DE PROGRAMAS,PROGRAMAS,SUBPROGRAMAS,CLAS. ECONOMICA,CREDITOS INICIALES,CREDITOS DEFINITIVOS,EJECUTADO,PAGADO,PAGADO EJERCICIO CERRADO
64,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,391 - Multas,39100 - Multas por infracciones urbanísticas,1000,1000,7027.04,750,0
65,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,391 - Multas,39110 - Multas por infracciones tributarias y análogas,1000,1000,0,0,0
66,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,391 - Multas,39120 - Multas por infracciones de la Ordenanza de circulación,1250000,1250000,789372.14,756673.53,269259.72
67,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,391 - Multas,39190 - Otras multas y sanciones,0,0,33768.28,28056.74,1000
68,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,392 - Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo,39200 - Recargos por declaración extemporánea sin requerimiento previo,0,0,0,0,0
69,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,392 - Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo,39210 - Recargo ejecutivo,25000,25000,71145.87,71145.87,0
71,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,393 - Intereses de demora,39300 - Intereses de demora,50000,50000,78819.95,78819.95,2541.22
72,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,393 - Intereses de demora,39301 - Intereses saldo cta. Urban,0,0,0,0,0
73,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,396 - Ingresos por actuaciones de urbanización,39600 - Canon de urbanización,0,0,0,0,0
74,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,396 - Ingresos por actuaciones de urbanización,39610 - Cuotas de urbanización,0,0,0,0,0
75,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,397 - Aprovechamientos urbanísticos,39700 - Canon por aprovechamientos urbanísticos,0,0,0,0,0
76,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,397 - Aprovechamientos urbanísticos,39710 - Otros ingresos por aprovechamientos urbanísticos,0,0,0,0,0
77,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,398 - Indemnizaciones de seguros de no vida,39800 - Indemnizaciones seguros,1000,1000,28294.91,28294.91,0
78,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,399 - Otros ingresos diversos,39900 - Recursos eventuales,1000,1000,127.33,27.33,0
79,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,399 - Otros ingresos diversos,39901 - Recursos eventuales - imprevistos,75000,75000,13353.52,10200.54,0
81,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39 - Otros ingresos,399 - Otros ingresos diversos,39904 - INCAUTACION FIANZAS CONCESION APARCAMIENTO,0,0,0,0,0
82,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,4 - TRANSFERENCIAS CORRIENTES,41 - De Organismos Autónomos de la Entidad Local,410 - De Organismos Autónomos de la Entidad Local,41001 - De Organismos Autónomos de la Entidad Local,0,0,0,0,0
83,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,4 - TRANSFERENCIAS CORRIENTES,41 - De Organismos Autónomos de la Entidad Local,410 - De Organismos Autónomos de la Entidad Local,41002 - De Organismos Autónomos de la Entidad Local,0,0,0,0,0
