ID_EXPEDIENTE;DS_ESTADO;FC_SOLICITUD;TL_FECHA_INI_PER;TL_FECHA_FIN_PER;TL_MUN_INTER;TLLOCALIDAD_AFEC1;TLLOCALIDAD_AFEC2;TLLOCALIDAD_AFEC3;TLLOCALIDAD_AFEC4;TLLOCALIDAD_AFEC5;TLLOCALIDAD_AFEC6;TLLOCALIDAD_AFEC7;ITCAUSAS_EXPO;TL_CAUSA_FM;TL_CAUSA_ECO;ITCAUSAS_OR;TL_CAUSA_TEC;TL_CAUSA_PRO;TL_CNAE_09;DSCNAE;NUM_TRAB_PLANT;NUM_TRAB_AFECT;TL_MED_SUSP;TL_MED_RED;TL_MED_EXT
09/2874/00730.8/2022;Iniciado;2022-05-12 12:34:13.0;16/05/2022;15/11/2022;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;4624;Comercio al por mayor de cueros y pieles;2;2;SI;NO;NO
09/2874/00741.2/2022;Iniciado;2022-05-16 17:13:30.0;15/05/2022;15/05/2024;Arroyomolinos;ARROYOMOLINOS;;;;;;;OTRAS;NO;NO;NO;NO;NO;6920;Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal;1;1;NO;SI;NO
09/2874/00750.3/2022;Iniciado;2022-05-22 19:55:00.0;01/05/2022;30/09/2022;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;4619;Intermediarios del comercio de productos diversos;1;1;NO;SI;NO
09/2874/00760.5/2022;Iniciado;2022-05-25 10:43:33.0;21/05/2022;01/07/2022;Tres Cantos;TRES CANTOS;;;;;;;FM;SI;NO;NO;NO;NO;5610;Restaurantes y puestos de comidas;10;10;SI;NO;NO
09/2874/00770.7/2022;Iniciado;2022-05-30 12:32:34.0;30/06/2022;30/06/2022;Madrid;MADRID;;;;;;;FM;SI;NO;NO;NO;NO;5630;Establecimientos de bebidas;5;5;NO;NO;SI
09/2874/00780.0/2022;Iniciado;2022-06-03 12:21:44.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;MR;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;2;2;SI;SI;NO
09/2874/00790.2/2022;Iniciado;2022-06-08 15:29:37.0;08/07/2022;31/07/2022;Madrid;28824;;;;;;;OTRAS;NO;SI;NO;NO;NO;5110;Transporte aéreo de pasajeros;32;32;NO;NO;SI
09/2874/00800.5/2022;Iniciado;2022-06-15 10:11:40.0;01/07/2022;30/06/2023;Madrid;MADRID;;;;;;;OTRAS;NO;NO;NO;NO;NO;4652;Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes;1;1;NO;SI;NO
09/2874/00810.7/2022;Iniciado;2022-06-20 13:22:02.0;05/06/2022;30/09/2022;Rivas-Vaciamadrid;RIVAS VACIAMADRID;RIVAS VACIAMADRID;;;;;;OTRAS;NO;SI;NO;NO;NO;5629;Otros servicios de comidas;141;13;SI;NO;NO
09/2874/00820.0/2022;Iniciado;2022-06-23 19:19:16.0;23/06/2022;22/06/2023;Madrid;MADRID;;;;;;;OTRAS;NO;NO;NO;NO;NO;4520;Mantenimiento y reparación de vehículos de motor;1;1;SI;NO;NO
09/2874/00830.2/2022;Iniciado;2022-06-28 12:49:48.0;01/07/2022;31/12/2022;Madrid;PINTO;;;;;;;OTRAS;NO;SI;NO;NO;NO;4647;Comercio al por mayor de muebles, alfombras y aparatos de iluminación;35;25;NO;SI;NO
09/2874/00840.4/2022;Iniciado;2022-07-01 11:17:24.0;13/07/2022;03/10/2022;Madrid;Torrejón de Ardoz;;;;;;;OTRAS;NO;NO;NO;NO;NO;4753;Comercio al por menor de alfombras, moquetas y revestimientos de paredes y suelos en establecimientos especializados;11;8;SI;NO;NO
09/2874/00850.6/2022;Iniciado;2022-07-06 11:34:07.0;01/08/2022;15/11/2022;Madrid;MADRID;;;;;;;FM;SI;NO;NO;NO;NO;5610;Restaurantes y puestos de comidas;34;34;SI;NO;NO
09/2874/00861.0/2022;Iniciado;2022-07-11 14:51:52.0;01/07/2022;01/07/2023;Humanes de Madrid;HUMANES DE MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;1071;Fabricación de pan y de productos frescos de panadería y pastelería;41;5;SI;NO;NO
09/2874/00871.2/2022;Iniciado;2022-07-14 16:57:49.0;01/08/2022;31/08/2022;Madrid;Madrid;;;;;;;OTRAS;NO;NO;NO;NO;NO;9329;Otras actividades recreativas y de entretenimiento;24;18;NO;NO;SI
09/2874/00881.4/2022;Iniciado;2022-07-19 12:06:29.0;15/07/2022;14/07/2023;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;6209;Otros servicios relacionados con las tecnologías de la información y la informática;5;3;NO;SI;NO
